dataset,pipeline,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,auc_mean,auc_std,ap_mean,ap_std,train_time_mean,train_time_std,classifier_time_mean,classifier_time_std,pretrain_time_mean,pretrain_time_std,link_pred_time_mean,link_pred_time_std
Facebook Classification,Struct-G Structural Only Pretrain,0.897774810858923,0.004556478896032135,0.8932145614768336,0.007876944378652922,0.8907989985391115,0.002938941800218685,0.8915974864482742,0.005195696730112074,,,,,60.094611120224,2.619390270694659,0.7257760047912598,0.03660925668955567,59.36883511543274,2.5888305155580498,0.0,0.0
Facebook Link Prediction,Deep GCN,0.5287180819959717,0.04035805647575141,0.5159940519622369,0.022817184525551284,0.9735039958417258,0.028986910197369816,0.6741326689115492,0.02030929738092859,0.772360632088057,0.048251320182495644,0.8107507367311474,0.036005323730929295,76.44121689796448,2.559705967658567,0.0,0.0,0.547750997543335,0.6690654145085007,75.89346590042115,2.2050530943255096
Facebook Link Prediction,GPT-GNN,0.5571583279185618,0.013919850631912263,0.5532209524782715,0.021690767493329703,0.6244458883835102,0.09322258298121004,0.5826269214706108,0.033293413776409306,0.5673018162488138,0.026605926423311065,0.5162649853048904,0.01128669439733753,1351.3864645957945,24.656675398758054,0.0,0.0,1040.1078184127805,17.796620582543078,311.2786461830139,7.6082116414881975
Facebook Link Prediction,SimpleGAT,0.7458081626639163,0.00409569499047368,0.6671693069074294,0.0032807567378527656,0.9810520111978782,0.0031731275003269287,0.7942205004747336,0.003015284316427671,0.9102311839153581,0.00496719506675791,0.8992124642944883,0.009074685431333824,32.83057703971863,1.234590601685079,0.0,0.0,,,32.83057703971863,1.234590601685079
Facebook Link Prediction,SimpleGNN,0.7340155546459272,0.005258600770367212,0.6568924871842778,0.0046195573560889975,0.979919302964739,0.0006738721848260944,0.7865237900694414,0.00335725236482532,0.9270455877495755,0.0017720420309385518,0.9287679918596948,0.001499507762848581,9.083950853347778,1.0702325039715999,0.0,0.0,,,9.083950853347778,1.0702325039715999
Facebook Link Prediction,SimpleGraphSAGE,0.7401255115961801,0.001621297003299656,0.6642077329118175,0.0013345621794265833,0.9712960436562075,0.0008654161815636555,0.7889214950658705,0.0011532969080705019,0.9112268586924357,0.001817802997804685,0.9111991686922168,0.0011689047490385978,78.59008498191834,1.4442893875744143,0.0,0.0,0.0,0.0,78.59008498191834,1.4442893875744143
Facebook Link Prediction,Struct-G Internal Classifier,0.880314906490649,0.020656780080555045,0.9641399668902857,0.005114461545262491,0.7902365236523653,0.0470758675428184,0.867843963921554,0.026818894217121237,0.9694922844611883,0.00386403942137082,0.9696348581714563,0.004196117172203907,76.84989819526672,2.387975424374794,0.0,0.0,60.67394728660584,2.87766154943437,16.175950908660887,0.6801360859254626
Facebook Link Prediction,Struct-G Structural Only Pretrain,0.7764349144466103,0.03926995032485497,0.9771895177736626,0.00920584771605001,0.5661636945587564,0.08030016565745166,0.7142502456469287,0.0639262484148217,0.9491846920481233,0.007927959590848875,0.9506495879819201,0.010000289460373716,82.99200587272644,3.0881000397518785,0.0,0.0,59.36883511543274,2.5888305155580498,23.6231707572937,1.0087187553518626
Email Classification,Deep GCN,0.08457711442786071,0.03550858881603081,0.0023796818012259465,0.00020139412293785586,0.023777333241360284,7.198029864798904e-05,0.003917830103476731,0.0009724363810911827,0.5042660122622326,0.013089025542418926,,,0.7059481143951416,0.04299708570299553,0.12958135604858398,0.006503126049204022,0.5763667583465576,0.039209958290108905,0.0,0.0
Email Classification,GPT-GNN,0.09054726368159204,0.04108621457126882,0.0063246149085835895,0.0039716424402782505,0.031191508701069803,0.0037490413461883894,0.008686069638133887,0.0036107933693760304,,,,,50.52057356834412,0.23496456786404024,1.1643074035644532,0.09711943618276003,49.35626616477966,0.2520034754639476,0.0,0.0
Email Classification,SimpleGAT,0.43283582089552236,0.036896509886048055,0.15901752010497952,0.04348042389695983,0.2159196643399688,0.03830434451525454,0.17265528084563744,0.03691226388766028,,,,,0.1397125244140625,0.0059990725473669515,0.1397125244140625,0.0059990725473669515,,,0.0,0.0
Email Classification,SimpleGNN,0.5164179104477612,0.018747705155638554,0.22583606117211516,0.03742131177736162,0.2547297325477612,0.015286361092763203,0.2199887928277385,0.018831822058282197,,,,,0.15096020698547363,0.006291881902671041,0.15096020698547363,0.006291881902671041,,,0.0,0.0
Email Classification,SimpleGraphSAGE,0.41691542288557215,0.043571411036440404,0.17723067810218823,0.04563809624941288,0.2049350723513778,0.046953906352469724,0.17365794537089024,0.03863998607573305,,,,,0.13990678787231445,0.2949361207494001,0.13990678787231445,0.2949361207494001,0.0,0.0,0.0,0.0
